URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Площадь участка,Местоположение,Коммуникации,Разное,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена
,"Участок, 5 соток",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 71 000,от агента,5 соток,в дачном массиве,"свет, вода",ровный,красная книга,нет,есть,рассмотрю варианты
,"Участок, 3.5 сотки",Чуйская область,Бишкек,ТЭЦ,$ 130 000,от агента,3.5 сотки,в дачном массиве,"свет, газ, вода, канализация",ровный,красная книга,нет,есть,рассмотрю варианты
,"Участок, 4 сотки",с. Кожомкул,Проектируемая,,$ 29 500,от собственника,4 сотки,в дачном массиве,"свет, газ, вода, канализация",ровный,красная книга,нет,есть,рассмотрю варианты
,"Участок, 32 сотки",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 1 400 000,от агента,32 сотки,в дачном массиве,"свет, газ, вода, канализация",ровный,красная книга,нет,есть,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,ТЭЦ,$ 260 000,от агента,6 соток,в дачном массиве,"свет, газ, вода, канализация",ровный,красная книга,нет,есть,рассмотрю варианты
,"Участок, 14.7 соток",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 231 000,от собственника,14.7 соток,в городе,"свет, газ, вода","фундамент, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 5.45 соток",Чуйская область,Бишкек,Ден Сяопина - Фучика,$ 90 000,от агента,5.45 соток,в городе,"свет, газ, вода","фундамент, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 100 соток",Чуйская область,с. Кошой,,$ 72 000,от агента,100 соток,в городе,"свет, отопление, вода, телефон, канализация","фундамент, сад, хозпостройки, дом, времянка, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Рабочий Городок,$ 103 500,от агента,5 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","фундамент, сад, хозпостройки, дом, времянка, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,с. Таш-Мойнок,,$ 155 000,от агента,8 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","фундамент, сад, хозпостройки, дом, времянка, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,с. Арашан 66,,$ 120 000,от собственника,8 соток,в предгорьях,"свет, газ, интернет, вода, телефон, канализация","фундамент, сад, хозпостройки, дом, времянка, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 8.9 соток",Чуйская область,Бишкек,с. Верхний Орок,$ 48 000,от собственника,8.9 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","фундамент, сад, хозпостройки, дом, времянка, все документы","технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 10 соток",Иссык-Кульская область,с. Сары-Ой,,$ 25 000,от агента,10 соток,в городе,"свет, вода, канализация","хозпостройки, удобно под коммерцию, все документы",технический паспорт,нет,есть,обмен не предлагать
,"Участок, 20 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 400 000,от агента,20 соток,в городе,"свет, вода, канализация","хозпостройки, удобно под коммерцию, все документы",технический паспорт,нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 45 000,от собственника,4 сотки,в городе,"свет, вода","госакт, ровный",красная книга,нет,нет,обмен на авто
,"Участок, 5.5 соток",Чуйская область,Бишкек,Ак-Тилек ж/м,$ 46 005,от агента,5.5 соток,в городе,"свет, вода","госакт, ровный",красная книга,нет,есть,обмен на авто
,"Участок, 135 соток",Чуйская область,с. Байтик,,$ 135 000,от агента,135 соток,в городе,"свет, вода","госакт, ровный",красная книга,нет,есть,обмен на авто
,"Участок, 4 сотки",Чуйская область,Бишкек,Ден Сяопина - Фучика,$ 78 000,от собственника,4 сотки,в городе,"свет, вода","госакт, ровный",красная книга,нет,есть,обмен на авто
,"Участок, 5 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 173 000,от агента,5 соток,в городе,"свет, вода","госакт, ровный",красная книга,нет,есть,обмен на авто
,"Участок, 5 соток",д/п Приборист,"""Панорама""  ""Приборист"" 6/704/напротив  дачи 612",,$ 32 000,от агента,5 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,есть,обмен на авто
,"Участок, 1160 соток",Беловодское,Заводская,,$ 1 300 000,от агента,1160 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,есть,обмен на авто
,"Участок, 20.6 соток",Чуйская область,Бишкек,с. Новопавловка,$ 272 900,от агента,20.6 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,нет,обмен на авто
,"Участок, 210 соток",Иссык-Кульская область,с. Орнок,,$ 235 000,от агента,210 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,есть,обмен на авто
,"Участок, 13 соток",с. Байтик,Суюмбаева,,$ 230 000,от агента,13 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,нет,обмен на авто
,"Участок, 17 соток",с. Арашан,ул.Аламудунская,,$ 135 000,от агента,17 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,нет,обмен на авто
,"Участок, 8.3 соток",Чуйская область,Бишкек,Восточный автовокзал,$ 120 000,от агента,8.3 соток,в дачном массиве,"свет, вода","госакт, дом, все документы",красная книга,нет,есть,обмен на авто
,"Участок, 4 сотки",Чуйская область,Бишкек,Ден Сяопина - Фучика,$ 90 000,от агента,4 сотки,в городе,"свет, вода","госакт, дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен на авто
,"Участок, 4.5 сотки",Чуйская область,Бишкек,Кожзавод,$ 370 000,от агента,4.5 сотки,в городе,"свет, вода","госакт, дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен на авто
,"Участок, 627 соток",Чуйская область,Бишкек,с. Маевка,$ 3 770 000,от агента,627 соток,в городе,"свет, вода","госакт, дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен на авто
,"Участок, 12 соток",Чуйская область,Бишкек,с. Маевка,$ 179 000,от агента,12 соток,в городе,"свет, газ, интернет, отопление, вода","огорожен, госакт, удобно под коммерцию, удобный въезд, все документы, возможна аренда","технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,обмен не предлагать
,"Участок, 5.5 соток",Чуйская область,Бишкек,Ак-Тилек ж/м,$ 46 000,от агента,5.5 соток,в городе,"свет, газ, вода, канализация","фундамент, хозпостройки, госакт, удобно под коммерцию, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 5.6 соток",с. Таш-Добо,Школьная,,$ 60 000,от агента,5.6 соток,в городе,"свет, газ, вода, канализация","фундамент, хозпостройки, госакт, удобно под коммерцию, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 7 соток",Чуйская область,Бишкек,Баха,$ 130 000,от агента,7 соток,в городе,"свет, газ, вода, канализация","фундамент, хозпостройки, госакт, удобно под коммерцию, времянка",красная книга,нет,есть,обмен не предлагать
,"Участок, 7.2 соток",Чуйская область,Бишкек,с. Селекционное,$ 145 000,от агента,7.2 соток,в городе,"свет, вода, канализация","сад, огорожен, госакт, дом, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 3 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 80 000,от агента,3 сотки,в городе,"свет, газ, вода","госакт, ровный, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м/Чортекова/Ы.Абдрахманова,$ 195 000,от агента,8 соток,в городе,"свет, газ, интернет, отопление, вода, канализация","хозпостройки, огорожен, госакт, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 385 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 320 000,от агента,385 соток,в городе,"свет, вода","госакт, ровный, все документы, удобный въезд",зеленая книга,нет,нет,обмен не предлагать
,"Участок, 18 соток",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 850 000,от собственника,18 соток,в городе,"свет, газ, интернет, отопление, канализация, телефон, вода","госакт, ровный, все документы, удобный въезд",зеленая книга,нет,нет,обмен не предлагать
,"Участок, 9 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 265 000,от агента,9 соток,в городе,"свет, газ, вода","хозпостройки, огорожен, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 20 соток",с. Арашан,8 марта 42,,$ 235 000,от агента,20 соток,в городе,"свет, вода","огорожен, времянка, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 150 соток",Чуйская область,с. Арашан,,$ 150 000,от агента,150 соток,в городе,"свет, вода","огорожен, времянка, все документы",зеленая книга,нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 49 000,от агента,4 сотки,в городе,"свет, газ, интернет, вода, телефон","фундамент, госакт, ровный, все документы","красная книга, технический паспорт",нет,нет,обмен не предлагать
,"Участок, 120 соток",Чуйская область,Бишкек,Кулатова- Матросова,$ 6 000 000,от агента,120 соток,в городе,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, зеленая книга",нет,нет,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,с. Беш-Кунгей,,$ 140 000,от агента,7 соток,в городе,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, зеленая книга",нет,нет,рассмотрю варианты
,"Участок, 8.3 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 200 000,от агента,8.3 соток,в городе,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, зеленая книга",нет,есть,рассмотрю варианты
,"Участок, 20 соток",с. Военно-Антоновка,улица школьная,,$ 250 000,от собственника,20 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 7.8 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 400 000,от агента,7.8 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 10 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 270 000,от агента,10 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 187 000,от агента,4 сотки,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 10 соток",Чуйская область,Бишкек,Лебединовка,$ 310 000,от агента,10 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 8 соток",Чуйская область,Бишкек,Кызыл-Аскер ж/м,$ 205 000,от агента,8 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 6.7 соток",Чуйская область,Бишкек,Дордой Плаза,$ 880 000,от агента,6.7 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 5.14 соток",Чуйская область,Бишкек,Советская - Скрябина,$ 317 000,от агента,5.14 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 877 соток",Чуйская область,Бишкек,с. Маевка,$ 4 500 000,от агента,877 соток,вдоль трассы,"канализация, вода, свет","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 150 соток",Чуйская область,Бишкек,ж/м Биримдик Кут,$ 250 000,от агента,150 соток,в городе,"канализация, вода, свет","фундамент, хозпостройки, огорожен, ж/д тупик, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 200 соток",Чуйская область,Бишкек,с. Степное,$ 200 000,от агента,200 соток,вдоль трассы,"свет, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, времянка, ровный, удобный въезд, все документы",зеленая книга,нет,нет,обмен не предлагать
,"Участок, 16 соток",Чуйская область,Бишкек,АУЦА,$ 350 000,от агента,16 соток,вдоль трассы,"свет, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, времянка, ровный, удобный въезд, все документы",зеленая книга,нет,есть,обмен не предлагать
,"Участок, 200 соток",Чуйская область,Бишкек,с. Пригородное,$ 1 900 000,от агента,200 соток,в пригороде,"свет, вода, канализация","огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 347 соток",Чуйская область,Бишкек,Бакай-Ата ж/м,$ 165 000,от агента,347 соток,в пригороде,"свет, вода, канализация","огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,Карагачевая роща,$ 99 000,от агента,6 соток,в пригороде,"свет, газ, вода","госакт, дом","договор дарения, технический паспорт, красная книга",нет,нет,рассмотрю варианты
,"Участок, 41 сотка",с. Комсомольское,Васильевский тракт/Комсомольское,,$ 240 000,от агента,41 сотка,в пригороде,"свет, газ, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, удобный въезд, все документы","договор купли-продажи, договор дарения, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,рассмотрю варианты
,"Участок, 10 соток",Чуйская область,Бишкек,Лебединовка,$ 260 000,от агента,10 соток,в пригороде,"свет, газ, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, удобный въезд, все документы","договор купли-продажи, договор дарения, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,рассмотрю варианты
,"Участок, 6.8 соток",Чуйская область,Бишкек,Советская - БЧК,$ 320 000,от агента,6.8 соток,в пригороде,"свет, газ, вода, канализация","фундамент, хозпостройки, дом, удобно под коммерцию","договор купли-продажи, технический паспорт",нет,нет,рассмотрю варианты
,"Участок, 10.2 соток",с. Кара Джыгач,Кулуйпа Кондучалова,,$ 125 000,от агента,10.2 соток,в пригороде,"свет, газ, вода, канализация","фундамент, хозпостройки, дом, удобно под коммерцию","договор купли-продажи, технический паспорт",нет,есть,рассмотрю варианты
,"Участок, 30 соток",Чуйская область,с. Кой-Таш,,$ 105 000,от агента,30 соток,вдоль трассы,"свет, газ, вода, канализация","фундамент, хозпостройки, дом, удобно под коммерцию","договор купли-продажи, технический паспорт",нет,есть,рассмотрю варианты
,"Участок, 20000 соток",Иссык-Кульская область,с. Бостери,,$ 25 000,от агента,20000 соток,вдоль трассы,"свет, газ, вода, канализация","фундамент, хозпостройки, дом, удобно под коммерцию",красная книга,нет,есть,рассмотрю варианты
,"Участок, 8 соток",Иссык-Кульская область,с. Сары-Ой,,$ 25 000,от агента,8 соток,вдоль трассы,"вода, свет","фундамент, хозпостройки, дом, удобно под коммерцию",красная книга,нет,есть,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,Бишкек,Ипподром,$ 165 000,от агента,7 соток,вдоль трассы,"свет, газ, интернет, вода, телефон, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,есть,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,с. Арашан 13,,$ 42 900,от собственника,6 соток,в дачном массиве,"свет, газ, интернет, вода, телефон, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Токольдош ж/м,$ 85 000,от агента,4 сотки,в дачном массиве,"свет, газ, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 25 соток",Иссык-Кульская область,с. Бает,,$ 28 000,от собственника,25 соток,в дачном массиве,"свет, газ, вода, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 7.57 соток",Чуйская область,Бишкек,Советская - БЧК,$ 115 000,от агента,7.57 соток,возле водоема,"свет, газ, интернет, отопление, вода, канализация","сад, огорожен, времянка, все документы","договор купли-продажи, красная книга",нет,есть,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 210 000,от агента,6 соток,в дачном массиве,"свет, газ, отопление, вода, канализация","сад, хозпостройки, огорожен, дом, времянка, удобный въезд, все документы","красная книга, технический паспорт, договор купли-продажи",нет,есть,обмен не предлагать
,"Участок, 8.3 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 207 000,от агента,8.3 соток,в городе,"свет, газ, интернет, отопление, вода, канализация","огорожен, дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 4.2 сотки",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 137 000,от агента,4.2 сотки,вдоль трассы,"свет, газ, интернет, вода, канализация","огорожен, времянка, все документы, удобный въезд, ровный",красная книга,есть,есть,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 205 000,от агента,8 соток,вдоль трассы,"свет, газ, интернет, вода, канализация","сад, хозпостройки, огорожен, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать
,"Участок, 5.4 соток",Чуйская область,Бишкек,Ак-Орго ж/м,$ 117 000,от агента,5.4 соток,вдоль трассы,"газ, свет, вода",все документы,"красная книга, технический паспорт",есть,есть,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Байтик,,$ 84 000,от агента,5 соток,в пригороде,свет,все документы,"красная книга, технический паспорт",есть,есть,обмен не предлагать
,"Участок, 7.2 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 265 000,от агента,7.2 соток,в пригороде,"свет, газ, интернет, отопление, вода, канализация","огорожен, дом, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Иссык-Кульская область,с. Чон-Сары-Ой,,$ 29 000,от агента,5 соток,вдоль трассы,свет,"удобно под коммерцию, все документы","красная книга, договор купли-продажи",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 150 000,от агента,5 соток,вдоль трассы,"свет, вода","удобно под коммерцию, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 14.4 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 417 000,от агента,14.4 соток,вдоль трассы,"свет, газ, вода, канализация","ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Чуй - Алматинка 108,$ 225 000,от агента,5 соток,в городе,"свет, газ, вода, канализация","ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 7.2 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 265 000,от агента,7.2 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, огорожен, дом, времянка, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,Баха,$ 350 000,от агента,6 соток,в городе,"свет, газ, интернет, отопление, вода, канализация","дом, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 20 соток",с. Петропавловка,крупская/энгельса,,$ 60 000,от агента,20 соток,в городе,"свет, вода","хозпостройки, огорожен, дом, времянка, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,с. Новопавловка,$ 62 000,от агента,6 соток,в городе,"свет, газ, вода","хозпостройки, огорожен, дом, времянка, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Таш-Добо,,$ 50 500,от агента,5 соток,вдоль трассы,"свет, газ, вода","хозпостройки, времянка","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 61 сотка",Чуйская область,с. Спартак,,$ 65 000,от агента,61 сотка,в пригороде,"свет, газ, вода","хозпостройки, времянка","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 145 000,от агента,8 соток,в пригороде,"свет, газ, вода, канализация","фундамент, хозпостройки, времянка","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4.5 сотки",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 159 000,от агента,4.5 сотки,в пригороде,"свет, газ, интернет, вода, канализация","фундамент, хозпостройки, времянка","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 10 соток",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 115 000,от агента,10 соток,в пригороде,"свет, газ, вода, канализация","фундамент, хозпостройки, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,с. Таш-Добо,,$ 95 000,от агента,8 соток,в пригороде,"свет, газ, вода, канализация","фундамент, хозпостройки, времянка","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5.6 соток",Чуйская область,Бишкек,с. Новопавловка,$ 63 500,от агента,5.6 соток,вдоль трассы,"свет, газ, вода","огорожен, дом, времянка, ровный, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 11.5 соток",с. Кара Джыгач,Кондучалова 204,,$ 79 000,от собственника,11.5 соток,вдоль трассы,"свет, вода","огорожен, дом, времянка, ровный, все документы","технический паспорт, красная книга",нет,есть,с доплатой покупателя
,"Участок, 12 соток",Чуйская область,Бишкек,с. Верхний Орок,$ 120 000,от агента,12 соток,в городе,"свет, вода","огорожен, дом, времянка, ровный, все документы",красная книга,нет,есть,обмен не предлагать
,"Участок, 11.4 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 550 000,от агента,11.4 соток,в городе,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 16 соток",Иссык-Кульская область,Каракол,,$ 175 000,от агента,16 соток,в городе,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен не предлагать
,"Участок, 6 соток",Чуйская область,с. Бир-Булак,,$ 49 000,от агента,6 соток,в городе,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 14 соток",Чуйская область,с. Арашан,,$ 138 000,от агента,14 соток,в предгорьях,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,Советская - БЧК,$ 150 000,от агента,5 соток,в предгорьях,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 7 соток",Чуйская область,Бишкек,Чуй - Алматинка,$ 150 000,от агента,7 соток,в предгорьях,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 9.5 соток",Иссык-Кульская область,Балыкчы,,$ 12 800,от собственника,9.5 соток,в предгорьях,"свет, вода","огорожен, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Боталиева - Тулебердиева,$ 150 000,от собственника,4 сотки,вдоль трассы,"свет, газ, интернет, отопление, вода, телефон, канализация","хозпостройки, огорожен, удобно под коммерцию, дом, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 425 соток",Чуйская область,Бишкек,Старый толчок,$ 88 000,от агента,425 соток,вдоль трассы,"газ, канализация",фундамент,"технический паспорт, красная книга",нет,нет,обмен не предлагать
