URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Дом,Кол-во этажей,Площадь,Площадь участка,Отопление,Состояние,Телефон,Интернет,Санузел,Канализация,Питьевая вода,Электричество,Газ,Мебель,Пол,Безопасность,Высота потолков,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Разное,Серия,Входная дверь,Местоположение,Коммуникации,Парковка
,"Дом, 3-комн., 100 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 180 000,от агента,кирпичный,1,100 м2,7 соток,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 214 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 149 000,от агента,другое,3,214 м2,5 соток,смешанное,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 205 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 152 000,от агента,кирпичный,2,205 м2,6 соток,на твердом топливе,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 84 м2",Чуйская область,Бишкек,с. Орто-Сай,$ 200 000,от агента,кирпичный,1,84 м2,7 соток,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 225 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 510 000,от агента,кирпичный,1,225 м2,5 соток,на газе,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 174.4 м2",Чуйская область,Бишкек,Рабочий Городок,$ 270 000,от агента,"кирпичный, 2001 г.",2,"174.4 м2, кухня: 20 м2",8 соток,на газе,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 260 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 260 000,от агента,кирпичный,3,260 м2,17 соток,автономное,под самоотделку (псо),нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,красная книга,нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 265 м2",Чуйская область,Бишкек,Пишпек ж/м,$ 208 000,от агента,кирпичный,1,265 м2,4 сотки,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 166 м2",Чуйская область,Бишкек,Айкол,$ 170 000,от агента,другое,1,166 м2,5 соток,смешанное,под самоотделку (псо),нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 160 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 155 000,от агента,кирпичный,1,160 м2,4 сотки,электрическое,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 150 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 130 000,от агента,кирпичный,2,150 м2,4 сотки,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 280 м2",Чуйская область,Бишкек,Горького - Панфилова,$ 365 000,от агента,кирпичный,3,280 м2,4 сотки,центральное,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 150 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 130 000,от агента,кирпичный,1,90 м2,5 соток,на газе,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 150 м2",Чуйская область,Бишкек,Рабочий Городок,$ 180 000,от агента,кирпичный,1,150 м2,7 соток,смешанное,среднее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 90 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 96 500,от агента,кирпичный,1,90 м2,4 сотки,автономное,под самоотделку (псо),нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 2-комн., 58 м2",Чуйская область,Бишкек,Пишпек ж/м,$ 94 000,от агента,кирпичный,1,58 м2,2 сотки,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,сад,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 150 м2",Чуйская область,Бишкек,Западный автовокзал,$ 155 000,от агента,кирпичный,2,150 м2,5 соток,электрическое,евроремонт,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 30 м2",Чуйская область,Бишкек,Джальская больница,$ 90 000,от агента,другое,1,30 м2,3 сотки,на твердом топливе,среднее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,сад,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 90 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 87 000,от агента,кирпичный,1,90 м2,5 соток,на твердом топливе,хорошее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 160 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 250 000,от агента,кирпичный,2,160 м2,4 сотки,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,красная книга,нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 300 м2",Чуйская область,Бишкек,с. Селекционное,$ 380 000,от агента,"кирпичный, 2024 г.",2,300 м2,3 сотки,на газе,евроремонт,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,красная книга,нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 500 м2",Чуйская область,с. Сын-Таш,,$ 420 000,от агента,кирпичный,1,500 м2,270 соток,электрическое,среднее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 90 м2",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 98 000,от агента,кирпичный,1,90 м2,6 соток,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 120 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 152 000,от агента,кирпичный,1,120 м2,4 сотки,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 220 м2",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 465 000,от агента,кирпичный,2,220 м2,10 соток,на газе,под самоотделку (псо),нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,охрана,3 м.,"технический паспорт, договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 95 м2",Чуйская область,Бишкек,Ала-Тоо м-н,$ 105 000,от агента,кирпичный,1,95 м2,5 соток,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,линолеум,охрана,3 м.,"красная книга, технический паспорт",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 130 м2",Чуйская область,Бишкек,с. Кок-Джар,$ 185 000,от агента,"кирпичный, 2024 г.",1,130 м2,3 сотки,на твердом топливе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,охрана,3 м.,красная книга,нет,есть,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 100 м2",с. Новопокровка,Чеченова 15,,$ 180 000,от собственника,"кирпичный, 1985 г.",1,100 м2,7.51 соток,на твердом топливе,хорошее,нет,проводной,раздельный,возможно подведение,центральное водоснабжение,есть,возможно подключение,полностью меблирована,дерево,охрана,3 м.,красная книга,нет,нет,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 50 м2",Чуйская область,д/п Бек-Тоо,,$ 53 000,от агента,кирпичный,1,50 м2,5 соток,на твердом топливе,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,охрана,3 м.,"красная книга, технический паспорт",нет,нет,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 286 м2",Чуйская область,Бишкек,Ынтымак ж/м,$ 350 000,от агента,кирпичный,2,286 м2,4 сотки,на твердом топливе,хорошее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,охрана,3 м.,"красная книга, технический паспорт",нет,нет,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 350 м2",Чуйская область,Бишкек,Достук м-н,$ 90 000,от агента,кирпичный,2,350 м2,4 сотки,смешанное,среднее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,линолеум,охрана,3 м.,"красная книга, технический паспорт",нет,нет,рассмотрю варианты,пластиковые окна,индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 180 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 158 000,от агента,кирпичный,1,180 м2,4 сотки,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,охрана,3 м.,красная книга,нет,есть,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 110 м2",Чуйская область,Бишкек,Ала-Тоо м-н,$ 95 000,от агента,кирпичный,2,110 м2,5 соток,на твердом топливе,среднее,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,охрана,3 м.,красная книга,нет,есть,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",с. Новопокровка,село НОВОПОКРОВКА улица Фрунзе 291,,$ 170 000,от собственника,"кирпичный, 2021 г.",2,"200 м2, жилая: 160 м2, кухня: 20 м2",15 соток,смешанное,евроремонт,есть,проводной,2 с/у и более,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,ламинат,охрана,2.7 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, хозпостройки, навес, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 240 м2",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 240 000,от агента,"кирпичный, 2018 г.",2,240 м2,8 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,охрана,3 м.,"договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 230 000,от агента,"кирпичный, 2008 г.",2,200 м2,10 соток,смешанное,евроремонт,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,пустая,ламинат,охрана,3 м.,"технический паспорт, договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 125 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 150 000,от агента,"кирпичный, 2023 г.",1,125 м2,5 соток,на газе,евроремонт,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 90 м2",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 87 000,от агента,"кирпичный, 2010 г.",1,90 м2,6.5 соток,на газе,хорошее,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,охрана,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 200 м2",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 240 000,от агента,"кирпичный, 2018 г.",2,200 м2,8 соток,на газе,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,паркет,решетки на окнах,2.8 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 260 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 380 000,от агента,кирпичный,2,260 м2,9 соток,на газе,евроремонт,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,паркет,решетки на окнах,2.8 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 135 м2",Чуйская область,Бишкек,Касым ж/м,$ 155 500,от агента,"кирпичный, 2022 г.",1,"135 м2, жилая: 120 м2, кухня: 30 м2",8 соток,на газе,евроремонт,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,паркет,решетки на окнах,2.8 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 220 м2",Чуйская область,Бишкек,Ак-Ордо ж/м,$ 175 000,от агента,кирпичный,2,220 м2,5 соток,электрическое,евроремонт,есть,проводной,раздельный,септик,центральное водоснабжение,есть,нет,частично меблирована,линолеум,кодовый замок,2.8 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 160 м2",Чуйская область,с. Комсомольское,,$ 105 000,от агента,"кирпичный, 2012 г.",2,160 м2,6 соток,на твердом топливе,хорошее,есть,проводной,раздельный,центральная,возможно подведение,есть,автономный,полностью меблирована,дерево,консьерж,2.8 м.,красная книга,нет,нет,рассмотрю варианты,"пластиковые окна, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 160 м2",Чуйская область,с. Комсомольское,,$ 105 000,от агента,"кирпичный, 2013 г.",2,160 м2,6 соток,на твердом топливе,хорошее,есть,проводной,раздельный,септик,центральное водоснабжение,есть,нет,частично меблирована,линолеум,кодовый замок,2.8 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 300 м2",Чуйская область,Бишкек,Кара Дарыя/Ахунбаева,$ 429 000,от агента,кирпичный,2,300 м2,4 сотки,электрическое,евроремонт,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 110 м2",Чуйская область,Бишкек,Айкол,$ 168 000,от агента,кирпичный,1,"110 м2, кухня: 25 м2",4 сотки,на газе,евроремонт,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 161.7 м2",Чуйская область,Бишкек,Гоин,$ 175 000,от агента,"кирпичный, 2015 г.",1,"161.7 м2, жилая: 161.7 м2",4.43 сотки,на газе,среднее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 300 м2",Чуйская область,Бишкек,Алтын-Ордо ж/м,$ 420 000,от агента,"кирпичный, 2019 г.",3,300 м2,10 соток,на газе,хорошее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 97.3 м2",Чуйская область,Бишкек,Гоин,$ 182 000,от агента,"кирпичный, 2015 г.",1,"97.3 м2, жилая: 97.3 м2",2.5 сотки,на газе,среднее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 265 м2",Чуйская область,Бишкек,Ынтымак ж/м,$ 380 000,от агента,"кирпичный, 2024 г.",3,265 м2,5 соток,смешанное,хорошее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 100 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 190 000,от агента,"кирпичный, 2015 г.",3,100 м2,6.49 соток,на газе,среднее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 250 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 175 000,от агента,кирпичный,2,250 м2,5 соток,на газе,хорошее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 240 м2",Чуйская область,Бишкек,Рабочий Городок,$ 270 000,от агента,"кирпичный, 2015 г.",2,"240 м2, жилая: 240 м2",5.2 соток,на газе,среднее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 170 м2",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 140 000,от агента,кирпичный,2,170 м2,5 соток,на газе,под самоотделку (псо),есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",Чуйская область,Бишкек,с. Новопавловка,$ 310 000,от агента,кирпичный,2,"200 м2, жилая: 200 м2",15.5 соток,на газе,под самоотделку (псо),есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,кодовый замок,3 м.,"договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"сад, навес, сауна",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 150 м2",Чуйская область,Бишкек,Рухий Мурас ж/м,$ 165 000,от агента,кирпичный,1,150 м2,4 сотки,на газе,евроремонт,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,автономный,частично меблирована,линолеум,кодовый замок,3.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 115 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 242 000,от агента,кирпичный,1,"115 м2, жилая: 115 м2",8.9 соток,на газе,евроремонт,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,кодовый замок,3 м.,"договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"сад, навес, сауна",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 450 м2",Чуйская область,Бишкек,Карла Маркса,$ 650 000,от агента,кирпичный,2,450 м2,6 соток,на газе,хорошее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,кодовый замок,3 м.,"договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"сад, навес, сауна",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
